locus_id	gene	chr	tss	locus_pos	distance_to_lead	within_1mb	abc_score	eqtl_score	distance_score
PCSK9_CAD_LDL	ACOT11	1	54542257	55039974	497717	True	1.443451	30.79710591347513	0.5012385936150299
PCSK9_CAD_LDL	BSND	1	54998933	55039974	41041	True	0.111378	29.384777185189723	0.9588728798103228
PCSK9_CAD_LDL	CDCP2	1	54153770	55039974	886204	True	0.332089	6.0399475452827724	0.1119363948107337
PCSK9_CAD_LDL	CYB5RL	1	54200036	55039974	839938	True	0.641534	40.26825575460536	0.1582994791092548
PCSK9_CAD_LDL	DHCR24	1	54887195	55039974	152779	True	0.908613	19.56572658057822	0.8469004094574037
PCSK9_CAD_LDL	FAM151A	1	54623556	55039974	416418	True	0.141216	7.878561630817963	0.5827081909518532
PCSK9_CAD_LDL	LEXM	1	54806063	55039974	233911	True	0.324624	22.13511648723697	0.7655981625523847
PCSK9_CAD_LDL	MROH7	1	54641754	55039974	398220	True	0.183745	37.89025950866122	0.6009443775265406
PCSK9_CAD_LDL	MROH7-TTC4	1	54641786	55039974	398188	True	0.183745	0.0	0.6009764446751498
PCSK9_CAD_LDL	MRPL37	1	54184041	55039974	855933	True	0.641534	51.47831285483877	0.14227091529663116
PCSK9_CAD_LDL	PARS2	1	54764523	55039974	275451	True	0.717867	18.37023984452594	0.7239709952640829
PCSK9_CAD_LDL	PCSK9	1	55039447	55039974	527	True	0.610165	63.59422007417456	0.9994718941463424
PCSK9_CAD_LDL	RP11-446E24.4	1	54200073	55039974	839901	True	0.0	0.0	0.15833655674983416
PCSK9_CAD_LDL	SSBP3	1	54413479	55039974	626495	True	1.769416	34.427637308110214	0.3721903666277184
PCSK9_CAD_LDL	TCEANC2	1	54053584	55039974	986390	True	1.544729	57.21156858549378	0.011540165105731415
PCSK9_CAD_LDL	TMEM59	1	54053504	55039974	986470	True	1.544729	14.06839315219238	0.01145999723420843
PCSK9_CAD_LDL	TMEM61	1	54980628	55039974	59346	True	0.247184	40.66410701984488	0.9405294687074734
PCSK9_CAD_LDL	TTC22	1	54801323	55039974	238651	True	0.532189	14.337013751734434	0.7608482161646488
PCSK9_CAD_LDL	TTC4	1	54715861	55039974	324113	True	0.677554	86.40037343381992	0.675206883213449
PCSK9_CAD_LDL	USP24	1	55215364	55039974	175390	True	1.066732	28.538130965318533	0.8242419626698306
ANGPTL3_LDL_TG	ALG6	1	63367575	62597513	770062	True	0.444442	25.582430331713432	0.22832210649099216
ANGPTL3_LDL_TG	ANGPTL3	1	62597520	62597513	7	True	0.121616	5.133397837693217	0.9999929853112417
ANGPTL3_LDL_TG	ATG4C	1	62784132	62597513	186619	True	0.776733	68.41512172831064	0.8129893998031879
ANGPTL3_LDL_TG	DOCK7	1	62688386	62597513	90873	True	0.586417	51.59824975172132	0.9089363126386654
ANGPTL3_LDL_TG	EFCAB7	1	63523372	62597513	925859	True	0.768278	19.49870926708854	0.07219818299519198
ANGPTL3_LDL_TG	FOXD3	1	63322567	62597513	725054	True	0.990531	9.325793088935242	0.27342455100981455
ANGPTL3_LDL_TG	ITGB3BP	1	63593721	62597513	996208	True	0.768278	214.56310936684037	0.0017015630730750075
ANGPTL3_LDL_TG	KANK4	1	62319434	62597513	278079	True	0.658907	14.78120725019166	0.7213374806845534
ANGPTL3_LDL_TG	L1TD1	1	62194849	62597513	402664	True	0.762433	85.87367698673599	0.5964910522634397
ANGPTL3_LDL_TG	PATJ	1	61742477	62597513	855036	True	0.633717	25.526784640140527	0.1431697975560824
ANGPTL3_LDL_TG	PGM1	1	63593411	62597513	995898	True	0.989766	19.582377201928715	0.002012213575226518
ANGPTL3_LDL_TG	TM2D1	1	61725423	62597513	872090	True	0.91637	31.30721298754153	0.12608001154417348
ANGPTL3_LDL_TG	USP1	1	62436297	62597513	161216	True	2.846491	10.498445075622428	0.8384457053069126
IL23R_IBD	C1orf141	1	67231853	67240275	8422	True	0.276408	39.47863828606204	0.9915603273254194
IL23R_IBD	DIRAS3	1	68051631	67240275	811356	True	0.479756	20.10619941386171	0.18694145540762352
IL23R_IBD	DNAI4	1	66924856	67240275	315419	True	0.0	47.60481693902101	0.6839191266512077
IL23R_IBD	DYNLT5	1	66752459	67240275	487816	True	0.0	64.63034821100928	0.5111603698143914
IL23R_IBD	GADD45A	1	67685201	67240275	444926	True	1.096049	8.682942134048778	0.5541403699346432
IL23R_IBD	GNG12	1	67833467	67240275	593192	True	0.725841	20.145936380389134	0.4055632494443364
IL23R_IBD	IL12RB2	1	67307364	67240275	67089	True	0.177295	29.342514847890538	0.9327702208424441
IL23R_IBD	IL23R	1	67138907	67240275	101368	True	0.232394	4.650157383084395	0.8984192899932458
IL23R_IBD	INSL5	1	66801276	67240275	438999	True	0.17229	4.867477763388053	0.5600798071161011
IL23R_IBD	MIER1	1	66924895	67240275	315380	True	1.348485	26.947663950290185	0.6839582084885751
IL23R_IBD	SERBP1	1	67430415	67240275	190140	True	2.054142	34.33963738085797	0.8094610113577831
IL23R_IBD	SGIP1	1	66533267	67240275	707008	True	0.964621	37.4459968917641	0.2915084186286083
IL23R_IBD	SLC35D1	1	67054148	67240275	186127	True	0.773614	45.68702758848981	0.8134824322130542
IL23R_IBD	WLS	1	68233120	67240275	992845	True	0.697537	28.718219198370814	0.00507161997222183
APOB_CAD_LDL	APOB	2	21044073	21001429	42644	True	0.67135	57.33697506495511	0.9572665160846813
APOB_CAD_LDL	GDF7	2	20667144	21001429	334285	True	0.393112	21.38283499388327	0.6650135383493034
